 ,Vendargues,Montpellier est,Montpellier sud,Montpellier ouest,St-Jean-de-Vedas,Sete,Agde Pezenas,Beziers ouest,Narbonne est ,Narbonne sud,Sigean ,Leucate,Perpignan nord,Perpignan sud,Le Boulou  (peage sys ferme),Frontiere Espagnole,Lezignan,Carcassone est,Carcassone ouest,Bram,Castelnoudary,Villefranche-de-Lauragais,Nailloux,Mazeres-Saverdun,Pamiers nord,Pamiers sud,Montgiscard,Le palays,Montaudran,Lasbordes,Soupetrad,La Roseraie,La Croix Daurade,Borderouge,Les lzards,Sesquieres
Vendargues,0.0,0.0,0.0,0.0,0.0,1.6,3.6,5.6,8.4,"8.58,5",10.6,11.5,14.9,15.2,17.1,18.8,10.8,14.7,15.1,17.2,18.3,20.3,20.5,22.0,23.7,23.7,21.2,23.7,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3
Montpellier est,0.0,0.0,0.0,0.0,0.0,1.6,3.6,5.6,8.4,8.5,10.6,11.5,14.9,15.2,17.1,18.8,10.8,14.7,15.1,17.2,18.3,20.3,20.5,22.0,23.7,23.7,21.2,23.7,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3
Montpellier sud,0.0,0.0,0.0,0.0,0.0,1.6,3.6,5.6,8.4,8.5,10.6,11.5,14.9,15.2,17.1,18.8,10.8,14.7,15.1,17.2,18.3,20.3,20.5,22.0,23.7,23.7,21.2,23.7,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3
Montpellier ouest,0.0,0.0,0.0,0.0,0.0,1.6,3.6,5.6,8.4,8.5,10.6,11.5,14.9,15.2,17.1,18.8,10.8,14.7,15.1,17.2,18.3,20.3,20.5,22.0,23.7,23.7,21.2,23.7,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3
St-Jean-de-Vedas,0.0,0.0,0.0,0.0,0.0,1.6,3.6,5.6,8.4,8.5,10.6,11.5,14.9,15.2,17.1,18.8,10.8,14.7,15.1,17.2,18.3,20.3,20.5,22.0,23.7,23.7,21.2,23.7,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3
Sete,1.6,1.6,1.6,1.6,1.6,0.0,1.9,3.6,5.6,5.7,8.5,9.1,11.9,12.3,15.0,16.2,8.6,12.0,12.6,15.3,15.8,18.5,19.3,20.0,20.7,20.7,19.2,21.2,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8
Agde Pezenas,3.6,3.6,3.6,3.6,3.6,1.9,0.0,1.4,3.3,3.4,5.7,6.7,9.5,9.7,12.1,13.8,6.0,9.5,10.4,12.8,13.7,15.9,16.3,18.4,18.6,18.6,16.8,18.8,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4
Beziers ouest,5.6,5.6,5.6,5.6,5.6,3.6,1.4,0.0,2.0,2.1,3.6,4.1,7.7,8.4,10.3,11.8,3.4,7.4,8.1,10.0,11.1,13.4,13.8,15.8,16.6,16.6,14.1,16.3,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9
Narbonne est ,8.4,8.4,8.4,8.4,8.4,5.6,3.3,2.0,0.0,0.4,1.9,2.6,5.0,6.1,8.8,9.6,2.4,5.4,6.2,8.8,10.2,12.0,12.5,14.5,14.9,14.9,13.1,14.9,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5
Narbonne sud,8.5,8.5,8.5,8.5,8.5,5.7,3.4,2.1,0.4,0,1.5,2.2,4.2,5.4,7.5,9.2,1.8,4.4,5.2,7.8,9.1,10.7,11.6,13.8,14.6,14.6,11.8,13.9,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5
Sigean ,10.6,10.6,10.6,10.6,10.6,8.5,5.7,3.6,1.9,1.5,0.0,0.7,3.1,3.7,5.9,7.1,2.9,6.2,7.5,9.4,10.2,12.4,13.2,14.8,15.5,15.5,13.6,15.0,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6
Leucate,11.5,11.5,11.5,11.5,11.5,9.1,6.7,4.1,2.6,2.2,0.7,0.0,1.9,2.9,4.7,5.9,3.4,7.2,8.1,10.0,11.5,13.0,14.1,15.6,16.4,16.4,14.3,16.0,16.6,16.6,16.6,16.6,16.6,16.6,16.6,16.6
Perpignan nord,14.9,14.9,14.9,14.9,14.9,11.9,9.5,7.7,5.0,4.2,3.1,1.9,0.0,1.0,2.5,3.1,6.9,10.3,10.6,12.4,13.9,15.7,16.6,18.1,18.7,18.7,16.5,18.8,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4
Perpignan sud,15.2,15.2,15.2,15.2,15.2,12.3,9.7,8.4,6.1,5.4,3.7,2.9,1.0,0.0,1.5,2.6,7.6,10.9,11.4,13.8,14.0,16.6,17.1,18.5,19.2,19.2,17.5,18.9,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5
Le Boulou  (peage sys ferme),17.1,17.1,17.1,17.1,17.1,15.0,12.1,10.3,8.8,7.5,5.9,4.7,2.5,1.5,0.0,0.0,9.0,12.9,13.8,15.7,16.5,18.5,20.0,20.6,21.0,21.0,20.0,21.6,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2
Frontiere Espagnole,18.8,18.8,18.8,18.8,18.8,16.2,13.8,11.8,9.6,9.2,7.1,5.9,3.1,2.6,0.0,0.0,10.3,14.2,14.3,16.8,17.9,20.2,20.7,20.6,22.0,22.0,21.2,22.7,23.3,23.3,23.3,23.3,23.3,23.3,23.3,23.3
