objectid_1;objectid;id_rte500;vocation;nb_chausse;nb_voies;etat;acces;res_vert;sens;res_europe;num_route;class_adm;longueur;st_length_;st_length(shape);geo_shape;geo_point_2d
6;8703;8703;Type autoroutier;1 chaussée;1 voie ou 2 voies étroite;Revêtu;Libre;Appartient;Sens unique;;A64;Autoroute;0.18000001000000002;175.72903507;175.72903506748997;"{""type"": ""LineString"", ""coordinates"": [[1.417933775178989, 43.56333164009868], [1.41815026143615, 43.5643229085419], [1.418037979676215, 43.564894523147814]]}";43.5641122904,1.41806102162
9;11689;11689;Type autoroutier;2 chaussée;Sans objet;Revêtu;Libre;N'appartient pas;Double sens;;D617;Départemental;3.46000004;3464.73772637;3464.737726374474;"{""type"": ""LineString"", ""coordinates"": [[2.9739717338397, 42.709906276802336], [2.972990112477579, 42.71029804564003], [2.97163658679544, 42.71076433393095], [2.970111148750139, 42.71119639125658], [2.969886786849059, 42.711250275050844], [2.969019823528778, 42.711450529489746], [2.967572503905297, 42.71165689654077], [2.9662934696473, 42.71178867092497], [2.964692590516234, 42.71186188215524], [2.955256813318888, 42.71215865832623], [2.952385197321882, 42.7125701122972], [2.948925578985766, 42.713307588496974], [2.944137654194317, 42.71450101851234], [2.9419962983223913, 42.71480917521606], [2.940535451655736, 42.714952232216426], [2.939741671121531, 42.7149769636699], [2.936774215536013, 42.71471271128949], [2.9361195816061203, 42.714603529950956], [2.9328537706008193, 42.7140521733059]]}";42.7128715416,2.95346382747
13;11693;11693;Type autoroutier;2 chaussée;Sans objet;Revêtu;Libre;N'appartient pas;Double sens;;D617;Départemental;0.80000001;795.86145553;795.8614555266928;"{""type"": ""LineString"", ""coordinates"": [[3.023164700190284, 42.698368721217264], [3.022578434899181, 42.69848213307905], [3.021563234600852, 42.69896066374217], [3.020073917607764, 42.69965865558878], [3.017815668716079, 42.701272043805794], [3.017621895779035, 42.70143031792209], [3.017190473044428, 42.70178283634282], [3.016716389817584, 42.70217132393985], [3.016236143476117, 42.702338631062744], [3.015503579244063, 42.70259228683408]]}";42.700371324,3.01927401324
16;28416;28416;Type autoroutier;2 chaussée;Sans objet;Revêtu;Libre;Appartient;Double sens;E11;A750;Autoroute;0.28999999;289.38260767;289.38260766663797;"{""type"": ""LineString"", ""coordinates"": [[3.760028761161368, 43.63282045249434], [3.759646025112001, 43.63301299086886], [3.7590669315478182, 43.63325279024642], [3.758378810118009, 43.63349244735632], [3.757703750684537, 43.633689717249375], [3.756768057804612, 43.63385190470799]]}";43.6334267984,3.75842701157
24;28597;28597;Type autoroutier;2 chaussée;Sans objet;Revêtu;Libre;Appartient;Double sens;;A20;Autoroute;0.31999999;317.12287147;317.1228714690619;"{""type"": ""LineString"", ""coordinates"": [[1.3345510940150191, 43.97999164403156], [1.334884222702933, 43.981347889508974], [1.335209413472769, 43.9828057344967]]}";43.9813969285,1.33488776828
28;28601;28601;Type autoroutier;2 chaussée;Sans objet;Revêtu;Libre;Appartient;Double sens;;A20;Autoroute;0.51999998;520.09714591;520.0971459101372;"{""type"": ""LineString"", ""coordinates"": [[1.3170966765618322, 43.92426039022081], [1.317275106855345, 43.925431541262384], [1.31750344860741, 43.92655755348918], [1.317662458595128, 43.92699387802307], [1.31780396080116, 43.92747494064571], [1.318210100658614, 43.928865636112704]]}";43.9265791853,1.31758228731
30;28603;28603;Type autoroutier;2 chaussée;Sans objet;Revêtu;Libre;Appartient;Double sens;;A20;Autoroute;1.20000005;1195.65406492;1195.6540649158258;"{""type"": ""LineString"", ""coordinates"": [[1.371603181162354, 44.001419470914], [1.373858780145313, 44.0016510691732], [1.374955935637785, 44.001748391842284], [1.376118707315358, 44.001950198603744], [1.376859531436498, 44.00216733649365], [1.378737332395555, 44.002880224873174], [1.380280342563141, 44.003658337710256], [1.38138952511848, 44.004387701127605], [1.382175198049346, 44.005091564630234], [1.38292093293807, 44.00592895928276], [1.383528836953545, 44.00683362629244]]}";44.0031731768,1.37805664071
33;28606;28606;Type autoroutier;2 chaussée;Sans objet;Revêtu;Libre;Appartient;Double sens;;A20;Autoroute;4.21999979;4222.71594708;4222.715947077836;"{""type"": ""LineString"", ""coordinates"": [[1.321879056033048, 43.9398878048996], [1.322583476808054, 43.942113923019825], [1.324768832550715, 43.94889418647642], [1.327782900501067, 43.958197683082346], [1.329748016396021, 43.96419947286268], [1.330410082039748, 43.96614766202376], [1.330466913802369, 43.966462690960356], [1.331058539498943, 43.968221665483846], [1.331413392740842, 43.96921367501399], [1.331707185008213, 43.970205652120846], [1.332416671560601, 43.97236969985183], [1.332460288286503, 43.97254049867179], [1.332591350538643, 43.97304569691927], [1.332768803958372, 43.97354170065947], [1.3328269716202121, 43.97381174088997], [1.333713616911323, 43.976911970463014]]}";43.9583856973,1.32784978
34;28607;28607;Type autoroutier;2 chaussée;Sans objet;Revêtu;Libre;Appartient;Double sens;;A20;Autoroute;0.34999999;349.07954805;349.0795480517545;"{""type"": ""LineString"", ""coordinates"": [[1.333713616911323, 43.976911970463014], [1.3338856024742571, 43.97751051030322], [1.334096433567904, 43.978230266024106], [1.334201719658272, 43.97859464274205], [1.334423752156602, 43.97922995187019], [1.3345510940150191, 43.97999164403156]]}";43.978445986,1.33416010353
43;37374;37374;Type autoroutier;1 chaussée;1 voie ou 2 voies étroite;Revêtu;Libre;Appartient;Sens unique;;;Sans objet;0.28;276.76852792;276.7685279153738;"{""type"": ""LineString"", ""coordinates"": [[1.368712021639676, 43.607372882413706], [1.369076090023243, 43.607679834616], [1.3694184217239251, 43.60809805452352], [1.369666011979977, 43.60836365844078], [1.369964377752318, 43.60858592547052], [1.370639077102191, 43.60890203190173], [1.371095573290033, 43.60909516833222]]}";43.6083422493,1.36982832789
